Start Timestamp,Elapsed Time (s),Rounds Played,Score,Total Reward,Loss,BOMB_DROPPED,BOMB_EXPLODED,COIN_COLLECTED,COIN_FOUND,CRATE_DESTROYED,GOT_KILLED,INVALID_ACTION,KILLED_OPPONENT,KILLED_SELF,MOVED_DOWN,MOVED_LEFT,MOVED_RIGHT,MOVED_UP,OPPONENT_ELIMINATED,SURVIVED_ROUND,WAITED,UP,RIGHT,DOWN,LEFT,WAIT,BOMB
2024-09-11 21:09:12,0.5790112018585205,10,0,-1247.8000000000002,7.91776474894405e+20,11,11,0,0,15,10,555,0,10,10,11,10,30,0,0,136,388,53,158,16,136,12
2024-09-11 21:09:12,1.0675358772277832,10,0,-1283.2000000000003,1.0562234939991287e+21,10,10,0,0,15,10,598,0,10,30,9,6,25,0,0,13,134,15,416,103,13,10
2024-09-11 21:09:12,1.324563980102539,10,0,-736.9999999999991,6.350510500517941e+20,10,10,0,0,9,10,322,0,10,6,2,14,5,0,0,6,8,169,165,6,6,11
2024-09-11 21:09:12,1.6492071151733398,10,0,-345.5999999999962,8.849212102499998e+20,10,10,0,0,7,10,50,0,10,4,4,6,6,0,0,384,43,15,6,6,384,10
2024-09-11 21:09:12,2.0613698959350586,10,0,-1127.4,1.25129104769408e+21,10,10,0,0,9,10,518,0,10,10,5,5,31,0,0,14,393,13,11,152,14,10
2024-09-11 21:09:12,2.5286779403686523,10,0,-1272.6,1.358766621895319e+21,11,11,0,0,21,10,592,0,10,4,40,14,1,0,0,12,6,17,12,616,12,11
2024-09-11 21:09:12,3.063321113586426,10,0,-1481.2000000000025,1.5383492128012449e+21,10,10,0,0,10,10,696,0,10,7,15,4,32,0,0,12,628,12,8,106,12,10
2024-09-11 21:09:12,3.430659055709839,10,0,-986.3999999999978,9.617374752713191e+20,10,10,0,0,13,10,449,0,10,25,3,15,13,0,0,9,183,173,142,7,9,10
2024-09-11 21:09:12,3.8767380714416504,10,0,-620.2000000000122,1.229450675328578e+21,10,10,0,0,8,10,184,0,10,8,11,12,4,0,0,408,6,182,18,12,408,11
2024-09-11 21:09:12,4.3360490798950195,10,0,-1130.9999999999982,1.3151158024945764e+21,11,11,0,0,14,10,512,0,10,18,9,17,5,0,0,53,9,121,417,14,53,11
2024-09-11 21:09:12,4.782422065734863,10,0,-1056.5999999999985,1.2903581920945011e+21,11,11,0,0,10,10,483,0,10,6,7,37,5,0,0,15,5,339,187,7,15,11
2024-09-11 21:09:12,5.185465097427368,10,0,-1106.0,1.2867562447233016e+21,10,10,0,0,13,10,509,0,10,7,28,14,5,0,0,7,9,212,16,325,7,11
2024-09-11 21:09:12,5.694827079772949,10,0,-681.1999999999985,1.6309601755772045e+21,10,10,0,0,8,10,205,0,10,6,14,20,8,0,0,462,13,112,11,114,462,13
2024-09-11 21:09:12,6.3508100509643555,10,0,-1639.6000000000026,2.2240437729985152e+21,10,10,0,0,7,10,742,0,10,6,5,8,17,0,0,167,275,479,9,14,167,11
2024-09-11 21:09:12,6.726830244064331,10,0,-859.7999999999984,1.0545984824425799e+21,10,10,0,0,10,10,384,0,10,2,7,18,10,0,0,8,224,182,6,7,8,12
2024-09-11 21:09:12,7.286049127578735,10,0,-1281.8000000000015,1.4955052467433788e+21,10,10,0,0,10,10,596,0,10,6,9,21,5,0,0,5,7,607,10,12,5,11
2024-09-11 21:09:12,7.755288124084473,10,0,-786.8000000000184,1.4567342823171613e+21,10,10,0,0,7,10,304,0,10,7,19,9,7,0,0,228,19,31,10,286,228,10
2024-09-11 21:09:12,8.321465969085693,10,0,-927.599999999997,1.8095549959546109e+21,10,10,0,0,7,10,358,0,10,7,18,4,13,0,0,310,318,8,16,57,310,11
2024-09-11 21:09:12,8.936388969421387,10,0,-1699.800000000002,2.1874370917443578e+21,10,10,0,0,11,10,803,0,10,1,17,8,15,0,0,15,459,16,9,359,15,11
2024-09-11 21:09:12,9.341126918792725,10,0,-1102.9999999999986,1.3557324486137988e+21,10,10,0,0,12,10,506,0,10,16,12,7,10,0,0,10,50,9,121,370,10,11
2024-09-11 21:09:12,9.919867992401123,10,0,-1526.000000000008,1.9876243947055984e+21,10,10,0,0,13,10,710,0,10,26,9,6,9,0,0,50,48,14,684,14,50,10
2024-09-11 21:09:12,10.554241180419922,10,0,-682.4000000000106,2.2903583449168426e+21,10,10,0,0,5,10,155,0,10,5,15,13,9,0,0,712,144,20,14,19,712,10
2024-09-11 21:09:12,10.886461019515991,10,0,-663.3999999999996,1.266994331735099e+21,10,10,0,0,8,10,248,0,10,15,1,1,8,0,0,191,215,4,17,37,191,10
2024-09-11 21:09:12,11.531223058700562,10,0,-1401.4000000000037,2.0665388583017314e+21,11,11,0,0,12,10,659,0,10,4,6,45,18,0,0,6,386,329,10,6,6,12
2024-09-11 21:09:12,12.006323099136353,10,0,-1101.9999999999986,1.5784838756541588e+21,10,10,0,0,16,10,504,0,10,5,4,4,21,0,0,12,179,282,66,11,12,10
2024-09-11 21:09:12,12.772075176239014,10,0,-1625.4000000000055,2.324222527419099e+21,10,10,0,0,9,10,769,0,10,45,7,6,11,0,0,13,15,12,796,14,13,11
2024-09-11 21:09:12,13.045829057693481,10,0,-765.9999999999993,1.1034849208053006e+21,10,10,0,0,12,10,336,0,10,18,5,1,2,0,0,8,2,5,346,8,8,11
2024-09-11 21:09:12,13.284781217575073,10,0,-653.9999999999989,9.249036236455401e+20,11,11,0,0,8,10,281,0,10,9,6,15,2,0,0,7,5,95,147,66,7,11
2024-09-11 21:09:12,13.606190204620361,10,0,-862.5999999999981,1.316061009248384e+21,10,10,0,0,11,10,387,0,10,3,19,23,0,0,0,4,8,115,7,301,4,11
2024-09-11 21:09:12,14.09009599685669,10,0,-1041.4000000000133,2.083017997954914e+21,10,10,0,0,9,10,442,0,10,5,15,26,9,0,0,181,11,430,6,50,181,10
2024-09-11 21:09:12,14.729799032211304,10,0,-1257.4000000000221,2.8029857237193657e+21,10,10,0,0,11,10,537,0,10,6,23,42,4,0,0,256,14,363,21,213,256,11
2024-09-11 21:09:12,15.463395118713379,10,0,-1561.0000000000018,3.1272023971339646e+21,10,10,0,0,7,10,702,0,10,7,11,30,11,0,0,182,335,389,18,19,182,10
2024-09-11 21:09:12,16.03715205192566,10,0,-1276.4000000000176,2.5845307548539856e+21,11,11,0,0,13,10,564,0,10,3,30,34,5,0,0,168,11,508,7,109,168,12
2024-09-11 21:09:12,16.45427107810974,10,0,-537.9999999999966,1.8183571119171007e+21,10,10,0,0,12,10,153,0,10,8,4,4,14,0,0,355,155,9,10,9,355,10
2024-09-11 21:09:12,16.893849849700928,10,0,-1200.1999999999994,2.1368879883258272e+21,11,11,0,0,12,10,554,0,10,9,3,1,32,0,0,14,563,14,9,13,14,11
2024-09-11 21:09:12,17.224853992462158,10,0,-894.9999999999986,1.6932788282648491e+21,10,10,0,0,11,10,401,0,10,6,15,6,12,0,0,12,157,12,8,261,12,12
2024-09-11 21:09:12,17.68967604637146,10,0,-1278.2000000000003,2.4843459960935494e+21,10,10,0,0,14,10,594,0,10,5,26,10,4,0,0,8,12,12,12,603,8,10
2024-09-11 21:09:12,18.16899609565735,10,0,-1295.5999999999995,2.548941782145808e+21,11,11,0,0,10,10,604,0,10,7,32,11,8,0,0,9,116,13,11,520,9,13
2024-09-11 21:09:12,18.52913498878479,10,0,-690.0000000000142,2.144169783482355e+21,11,11,0,0,13,10,268,0,10,3,2,2,47,0,0,173,303,5,6,7,173,12
2024-09-11 21:09:12,18.80370807647705,10,0,-257.1999999999967,1.6111270303943969e+21,10,10,0,0,8,10,11,0,10,7,0,1,2,0,0,353,7,4,9,1,353,10
2024-09-11 21:09:12,19.153553009033203,10,0,-426.1999999999978,2.1883252885762574e+21,10,10,0,0,12,10,98,0,10,8,5,1,17,0,0,351,109,5,10,5,351,10
2024-09-11 21:09:12,19.661247968673706,10,0,-1352.2000000000014,3.0203778145465873e+21,10,10,0,0,11,10,631,0,10,20,1,2,34,0,0,14,646,6,21,14,14,11
2024-09-11 21:09:12,20.28336000442505,10,0,-1690.200000000004,4.09990340784878e+21,10,10,0,0,7,10,800,0,10,18,10,12,25,0,0,18,99,21,726,19,18,10
2024-09-11 21:09:12,20.666083097457886,10,0,-1014.9999999999982,2.496734212023206e+21,11,11,0,0,11,10,464,0,10,41,3,2,11,0,0,7,11,5,495,9,7,12
2024-09-11 21:09:12,21.076016902923584,10,0,-1138.7999999999993,2.615155607108078e+21,10,10,0,0,4,10,522,0,10,7,4,3,8,0,0,8,10,9,514,9,8,12
2024-09-11 21:09:12,21.683991193771362,10,0,-1521.4,3.7823331398875286e+21,11,11,0,0,10,10,715,0,10,29,3,4,11,0,0,13,13,13,714,21,13,12
2024-09-11 21:09:12,22.14585304260254,10,0,-1281.9999999999995,3.215102601098525e+21,10,10,0,0,14,10,595,0,10,23,4,7,4,0,0,9,6,12,605,8,9,12
2024-09-11 21:09:12,22.74434804916382,10,0,-1672.600000000002,4.2428151274937726e+21,10,10,0,0,9,10,788,0,10,4,11,14,4,0,0,18,15,509,286,11,18,10
2024-09-11 21:09:12,23.12884783744812,10,0,-1046.7999999999984,2.873122915478858e+21,10,10,0,0,5,10,478,0,10,6,7,23,8,0,0,9,11,490,10,11,9,10
2024-09-11 21:09:12,23.89980125427246,10,0,-2090.2000000000053,6.246022279281408e+21,10,10,0,0,10,10,1001,0,10,13,15,44,9,0,0,21,14,1030,18,19,21,11
